,Source,Referal,Medium,Date,Sessions
241,(direct),(none),desktop,2022-11-14,6
269,bimswarm.de,referral,desktop,2022-11-14,6
1262,google,organic,mobile,2022-11-14,1
1064,bimswarm.de,referral,mobile,2022-11-14,1
470,(direct),(none),desktop,2022-11-13,3
1261,google,organic,mobile,2022-11-12,1
673,bimswarm.de,referral,desktop,2022-11-12,2
593,(direct),(none),desktop,2022-11-12,2
884,(direct),(none),mobile,2022-11-12,1
592,(direct),(none),desktop,2022-11-11,2
722,bimswarm.de,referral,mobile,2022-11-11,2
519,bimswarm.de,referral,desktop,2022-11-11,3
457,linkedin.com,referral,desktop,2022-11-10,4
108,bimswarm.de,referral,desktop,2022-11-10,10
1211,google,organic,desktop,2022-11-10,1
659,(not set),(not set),desktop,2022-11-10,2
591,(direct),(none),desktop,2022-11-10,2
883,(direct),(none),mobile,2022-11-10,1
178,bimswarm.de,referral,desktop,2022-11-09,8
559,google,organic,desktop,2022-11-09,3
48,(direct),(none),desktop,2022-11-09,13
721,bimswarm.de,referral,mobile,2022-11-09,2
64,bimswarm.de,referral,desktop,2022-11-08,12
73,(direct),(none),desktop,2022-11-08,11
1210,google,organic,desktop,2022-11-08,1
1063,bimswarm.de,referral,mobile,2022-11-08,1
1291,kompetenzzentrum-planen-und-bauen.digital,referral,desktop,2022-11-07,1
1209,google,organic,desktop,2022-11-07,1
72,(direct),(none),desktop,2022-11-07,11
39,bimswarm.de,referral,desktop,2022-11-07,15
1062,bimswarm.de,referral,mobile,2022-11-07,1
1011,bimswarm.de,referral,desktop,2022-11-06,1
656,(direct),(none),tablet,2022-11-06,2
590,(direct),(none),desktop,2022-11-06,2
833,(direct),(none),desktop,2022-11-05,1
951,(not set),(not set),desktop,2022-11-04,1
672,bimswarm.de,referral,desktop,2022-11-04,2
374,(direct),(none),desktop,2022-11-04,4
882,(direct),(none),mobile,2022-11-04,1
177,bimswarm.de,referral,desktop,2022-11-03,8
469,(direct),(none),desktop,2022-11-03,3
1103,bimswarm.de,referral,tablet,2022-11-03,1
468,(direct),(none),desktop,2022-11-02,3
268,bimswarm.de,referral,desktop,2022-11-02,6
413,bimswarm.de,referral,desktop,2022-11-01,4
1290,kompetenzzentrum-planen-und-bauen.digital,referral,desktop,2022-11-01,1
589,(direct),(none),desktop,2022-11-01,2
329,bimswarm.de,referral,desktop,2022-10-31,5
467,(direct),(none),desktop,2022-10-31,3
996,baidu,organic,mobile,2022-10-30,1
832,(direct),(none),desktop,2022-10-30,1
588,(direct),(none),desktop,2022-10-29,2
466,(direct),(none),desktop,2022-10-28,3
412,bimswarm.de,referral,desktop,2022-10-28,4
1260,google,organic,mobile,2022-10-28,1
1208,google,organic,desktop,2022-10-28,1
465,(direct),(none),desktop,2022-10-27,3
720,bimswarm.de,referral,mobile,2022-10-27,2
107,bimswarm.de,referral,desktop,2022-10-27,10
1114,bing,organic,desktop,2022-10-27,1
1207,google,organic,desktop,2022-10-26,1
373,(direct),(none),desktop,2022-10-26,4
518,bimswarm.de,referral,desktop,2022-10-26,3
992,app.goto.com,referral,desktop,2022-10-26,1
1061,bimswarm.de,referral,mobile,2022-10-25,1
217,app.goto.com,referral,desktop,2022-10-25,7
106,bimswarm.de,referral,desktop,2022-10-25,10
510,(not set),(not set),desktop,2022-10-25,3
464,(direct),(none),desktop,2022-10-25,3
146,bimswarm.de,referral,desktop,2022-10-24,9
372,(direct),(none),desktop,2022-10-24,4
1272,ingenieurbau-online.de,referral,desktop,2022-10-24,1
1060,bimswarm.de,referral,mobile,2022-10-24,1
558,google,organic,desktop,2022-10-24,3
1259,google,organic,mobile,2022-10-24,1
831,(direct),(none),desktop,2022-10-23,1
451,google,organic,mobile,2022-10-22,4
371,(direct),(none),desktop,2022-10-22,4
